method,decay,m,trial,estimate,true_trace,relative_error
Hutch++,0.5,40,10,60.01195902586608,61.80100876524323,0.028948552379994587
NA-Hutch++,0.5,40,10,60.42325366632279,61.80100876524323,0.022293407930507526
Gaussian-Hutch++,0.5,40,10,60.66927679151804,61.80100876524323,0.018312516192481292
Hutchinson,0.5,40,11,61.629637817231675,61.80100876524323,0.0027729474232779114
Hutch++,0.5,40,11,59.43115124131461,61.80100876524323,0.038346583191396486
NA-Hutch++,0.5,40,11,61.566769257825186,61.80100876524323,0.0037902214235341373
Gaussian-Hutch++,0.5,40,11,61.98625052313662,61.80100876524323,0.002997390521521168
Hutchinson,0.5,40,12,62.48001489314102,61.80100876524323,0.010986974832029888
Hutch++,0.5,40,12,60.092345006251705,61.80100876524323,0.027647829592588723
NA-Hutch++,0.5,40,12,61.580816344281196,61.80100876524323,0.003562926000099073
Gaussian-Hutch++,0.5,40,12,61.706311178335916,61.80100876524323,0.0015322984009376462
Hutchinson,0.5,40,13,61.99511439312664,61.80100876524323,0.0031408164973607084
Hutch++,0.5,40,13,60.73375610225849,61.80100876524323,0.01726917868021862
NA-Hutch++,0.5,40,13,61.271043440456765,61.80100876524323,0.008575350716354622
Gaussian-Hutch++,0.5,40,13,60.90909081584415,61.80100876524323,0.014432093702339251
Hutchinson,0.5,40,14,61.66496983620218,61.80100876524323,0.002201241237951403
Hutch++,0.5,40,14,60.70914003106865,61.80100876524323,0.017667490482593015
NA-Hutch++,0.5,40,14,61.200731599941044,61.80100876524323,0.009713064192566753
Gaussian-Hutch++,0.5,40,14,61.6600675074328,61.80100876524323,0.0022805656513765096
Hutchinson,0.5,40,15,61.31715313866262,61.80100876524323,0.007829251273528286
Hutch++,0.5,40,15,60.30486719867958,61.80100876524323,0.02420901529693279
NA-Hutch++,0.5,40,15,61.26863315377471,61.80100876524323,0.008614351482364975
Gaussian-Hutch++,0.5,40,15,61.12070446941099,61.80100876524323,0.011007980442786
Hutchinson,0.5,40,16,62.01920823938532,61.80100876524323,0.003530678196062139
Hutch++,0.5,40,16,60.02960587895322,61.80100876524323,0.028663009256351263
NA-Hutch++,0.5,40,16,63.09381855861051,61.80100876524323,0.02091891085917597
Gaussian-Hutch++,0.5,40,16,62.14534295785059,61.80100876524323,0.0055716597428909385
Hutchinson,0.5,40,17,62.104041940637465,61.80100876524323,0.004903369402032459
Hutch++,0.5,40,17,59.88332932572763,61.80100876524323,0.031029905139575997
NA-Hutch++,0.5,40,17,62.08201705921457,61.80100876524323,0.004546985552271085
Gaussian-Hutch++,0.5,40,17,61.50586002824301,61.80100876524323,0.00477579157520499
Hutchinson,0.5,40,18,61.04621740030029,61.80100876524323,0.012213253149476617
Hutch++,0.5,40,18,59.56949756215331,61.80100876524323,0.03610800612602493
NA-Hutch++,0.5,40,18,60.63282958180298,61.80100876524323,0.018902267240939172
Gaussian-Hutch++,0.5,40,18,62.31549446597497,61.80100876524323,0.008324875451241592
