case_name,orient_idx,orient_type,trial,seed,dimension,budget_m,query_count_per_method,diag_concentration,gate_triggered,r_knee_detected,q_target,rel_err_hutch,rel_err_hpp,rel_err_ghpp,rel_err_gated,sq_err_hutch,sq_err_hpp,sq_err_ghpp,sq_err_gated
"Step (r*=5, eta=1e-3)",1,Haar-Random,4,2026,100,60,60,0.803764001843041,True,5,8,0.013406520220880687,6.570398050200632e-05,2.3107502064325495e-05,9.313984497315048e-05,0.004665739762462806,1.120654497891287e-07,1.3860994069171484e-08,2.2519533937836627e-07
"Step (r*=5, eta=1e-3)",1,Haar-Random,5,2026,100,60,60,0.803764001843041,True,5,8,0.005606174376985577,0.0004671299485524359,0.0002568261191050015,0.00017982826252113435,0.0008158711586672352,5.6645289390171285e-06,1.7122483449356943e-06,8.394682461266625e-07
"Step (r*=5, eta=1e-3)",1,Haar-Random,6,2026,100,60,60,0.803764001843041,True,5,8,0.012918511244124544,0.00037436717408312163,0.00017868161290117407,0.00023518448992165502,0.004332248018833843,3.638177628552789e-06,8.28796874820711e-07,1.4358389530697521e-06
"Step (r*=5, eta=1e-3)",1,Haar-Random,7,2026,100,60,60,0.803764001843041,True,5,8,0.1302846739303113,0.00020202647313830645,0.0005530176577155113,5.126737983019092e-05,0.4406309891950153,1.0595097099038718e-06,7.939010449367591e-06,6.822925369596471e-08
"Step (r*=5, eta=1e-3)",1,Haar-Random,8,2026,100,60,60,0.803764001843041,True,5,8,0.07643881875832495,9.285934618960006e-05,0.00011048124760354749,3.8385247637990794e-05,0.15167580580115445,2.2384099093004857e-07,3.1685861267664326e-07,3.824873446097223e-08
"Step (r*=5, eta=1e-3)",1,Haar-Random,9,2026,100,60,60,0.803764001843041,True,5,8,0.03610443454890182,0.000550044350269702,0.00021074995845115529,4.149119145581981e-05,0.03383837289679117,7.853871532295945e-06,1.1529842427104044e-06,4.468895393927963e-08
"Step (r*=5, eta=1e-3)",2,Haar-Random,0,2026,100,60,60,0.8041334741945677,True,5,8,0.11694512577163767,0.0007606598167945493,0.00010908429530028574,2.650321657133399e-05,0.3550198427292968,1.5019979006485422e-05,3.088963932720174e-07,1.823415102478132e-08
"Step (r*=5, eta=1e-3)",2,Haar-Random,1,2026,100,60,60,0.8041334741945677,True,5,8,0.0195610574061323,0.0003951068455107924,1.2859039916752502e-05,0.00018092155170388306,0.009932830670229553,4.0524483201480464e-06,4.292452179758365e-09,8.497065860369483e-07
"Step (r*=5, eta=1e-3)",2,Haar-Random,2,2026,100,60,60,0.8041334741945677,True,5,8,0.02776452714016044,0.00016845223814521818,3.106317080989665e-05,3.502103724749335e-05,0.020011006794298507,7.366173569253963e-07,2.5048397479088305e-08,3.183804456392891e-08
"Step (r*=5, eta=1e-3)",2,Haar-Random,3,2026,100,60,60,0.8041334741945677,True,5,8,0.0149263967284209,0.00011300810905745996,0.0001046664865825486,2.8680131813449604e-05,0.0057836011814914766,3.3151836566090666e-07,2.843830246187854e-07,2.1352594997112616e-08
"Step (r*=5, eta=1e-3)",2,Haar-Random,4,2026,100,60,60,0.8041334741945677,True,5,8,0.03307742883251722,0.0003135192249263763,0.00010301350158237862,4.3618700415010606e-05,0.028402192337108705,2.551624305236598e-06,2.754715014675292e-07,4.9389408005969495e-08
"Step (r*=5, eta=1e-3)",2,Haar-Random,5,2026,100,60,60,0.8041334741945677,True,5,8,0.060192658444850784,0.0001504468884620813,2.806516078246492e-05,4.763134001978895e-05,0.09405360057466622,5.875634833864606e-07,2.044671040147742e-08,5.889439654607784e-08
"Step (r*=5, eta=1e-3)",2,Haar-Random,6,2026,100,60,60,0.8041334741945677,True,5,8,0.02101735878492298,0.0002031029304227114,8.051012001164632e-05,0.00011260927708514876,0.011466863766700834,1.0708305574594203e-06,1.6826327002212143e-07,3.291824836271553e-07
"Step (r*=5, eta=1e-3)",2,Haar-Random,7,2026,100,60,60,0.8041334741945677,True,5,8,0.07620441654315882,0.00032528801478989947,0.00017745125148964253,3.8256542925374364e-05,0.15074699415846396,2.7467839480269055e-06,8.174223534470495e-07,3.7992670494562496e-08
"Step (r*=5, eta=1e-3)",2,Haar-Random,8,2026,100,60,60,0.8041334741945677,True,5,8,0.035956130731432064,1.8468858909949918e-05,3.205200711328235e-05,0.0001629462425084752,0.03356095251083082,8.854590964068407e-09,2.666851526545683e-08,6.892504798294957e-07
"Step (r*=5, eta=1e-3)",2,Haar-Random,9,2026,100,60,60,0.8041334741945677,True,5,8,0.09917647186309254,0.0003814596309982074,0.0001931638230024709,1.7530279700264038e-05,0.25533225787537467,3.7773353704464147e-06,9.685899554835447e-07,7.97748630941322e-09
"Step (r*=5, eta=1e-3)",3,Haar-Random,0,2026,100,60,60,0.8040042598190861,True,5,8,0.08866090830979051,0.00016970502640125505,0.0003148189015677258,5.315037979083585e-05,0.20405757871600524,7.47614623991596e-07,2.572823389593404e-06,7.333328181598573e-08
"Step (r*=5, eta=1e-3)",3,Haar-Random,1,2026,100,60,60,0.8040042598190861,True,5,8,0.05099797175489345,0.00015453061588063276,0.00023859854396167428,0.00024320747093337862,0.06751405370271599,6.19894021187397e-07,1.4778282180556271e-06,1.53547305577928e-06
"Step (r*=5, eta=1e-3)",3,Haar-Random,2,2026,100,60,60,0.8040042598190861,True,5,8,0.18143608805939093,0.00022620509048275822,0.00020697648771008975,8.057368128504277e-05,0.8545465470679592,1.3282906777253323e-06,1.1120655891415306e-06,1.685290564716188e-07
"Step (r*=5, eta=1e-3)",3,Haar-Random,3,2026,100,60,60,0.8040042598190861,True,5,8,0.047848908399766805,0.00015170027934952932,5.449190265528095e-05,2.613783716526599e-05,0.05943365590979488,5.9739438698228e-07,7.708188399833952e-08,1.7734856255491425e-08
"Step (r*=5, eta=1e-3)",3,Haar-Random,4,2026,100,60,60,0.8040042598190861,True,5,8,0.09059742336503449,0.000196533324529639,4.120610761338574e-05,4.7189770707564966e-05,0.21306890270935758,1.0026763652974946e-06,4.4076952693886124e-08,5.780748976427111e-08
"Step (r*=5, eta=1e-3)",3,Haar-Random,5,2026,100,60,60,0.8040042598190861,True,5,8,0.08184817178204754,5.440849091670273e-05,3.999736444698303e-06,5.043283842297578e-05,0.1739027072515463,7.68460833475158e-08,4.1528966869382437e-10,6.602603224427989e-08
"Step (r*=5, eta=1e-3)",3,Haar-Random,6,2026,100,60,60,0.8040042598190861,True,5,8,0.011390757950258755,0.00016658512514091864,8.736084927973915e-05,6.503027423038363e-05,0.003368167053416183,7.203786208780534e-07,1.9811714981929716e-07,1.0977907005263967e-07
"Step (r*=5, eta=1e-3)",3,Haar-Random,7,2026,100,60,60,0.8040042598190861,True,5,8,0.03513845939233909,0.0005603847712379881,3.0255165285321136e-06,0.00010053869450968378,0.03205190224345965,8.151940963733786e-06,2.376224319578612e-10,2.623945799443842e-07
"Step (r*=5, eta=1e-3)",3,Haar-Random,8,2026,100,60,60,0.8040042598190861,True,5,8,0.06041199713906758,0.00025762525083654526,0.00014978316264090138,2.8445105176631953e-05,0.09474030161150167,1.7229204742880458e-06,5.823906171251335e-07,2.100407036500228e-08
"Step (r*=5, eta=1e-3)",3,Haar-Random,9,2026,100,60,60,0.8040042598190861,True,5,8,0.004889518869154728,0.0007358769837713209,9.347767575876244e-05,0.00014186560969131474,0.0006206126585665469,1.4057199741882134e-05,2.2683192983818893e-07,5.224474747868425e-07
"Step (r*=5, eta=1e-3)",4,Haar-Random,0,2026,100,60,60,0.8037291519949001,True,5,8,0.05535009165899484,0.00013722101778564495,7.902631677997276e-05,0.00014298438041831786,0.07952891646544039,4.887982575989204e-07,1.6211823195949588e-07,5.307201443924033e-07
"Step (r*=5, eta=1e-3)",4,Haar-Random,1,2026,100,60,60,0.8037291519949001,True,5,8,0.09901033021148718,0.00038836919941788635,2.975802473376304e-05,1.9681597473670595e-05,0.25447750291438564,3.915416226197293e-06,2.298775593445917e-08,1.0055624964693735e-08
"Step (r*=5, eta=1e-3)",4,Haar-Random,2,2026,100,60,60,0.8037291519949001,True,5,8,0.11648889587201725,0.00024641675841879685,0.00018607120328994635,2.921751000424504e-06,0.3522552174627737,1.5762636376287729e-06,8.987661533998531e-07,2.216025632509959e-10
