sample_size_s,independent_pairs_n,delta,norm_envelope_M0,ell_candidate,ell_baseline,variance_bound,one_sided_radius,nonvacuous,phase2b_data_only_radius
16,8,0.1,0.5,80,100,0.0051890625,0.07640481210303446,True,inf
16,8,0.1,0.5,100,100,0.0041,0.06791538853603063,True,inf
16,8,0.1,1.0,70,80,0.11766581632653064,0.3638324385858784,True,inf
16,8,0.1,1.0,80,100,0.083025,0.30561924841213783,True,inf
16,8,0.1,1.0,100,100,0.0656,0.2716615541441225,True,inf
32,16,0.01,0.001,70,80,1.1766581632653065e-13,8.532627019390971e-07,True,inf
32,16,0.01,0.001,80,100,8.3025e-14,7.167406696288415e-07,True,inf
32,16,0.01,0.001,100,100,6.560000000000002e-14,6.371028174478591e-07,True,inf
32,16,0.01,0.005,70,80,7.354113520408164e-11,2.1331567548477426e-05,True,inf
32,16,0.01,0.005,80,100,5.1890624999999994e-11,1.7918516740721034e-05,True,inf
32,16,0.01,0.005,100,100,4.1e-11,1.5927570436196477e-05,True,inf
32,16,0.01,0.01,70,80,1.1766581632653062e-09,8.53262701939097e-05,True,inf
32,16,0.01,0.01,80,100,8.302499999999999e-10,7.167406696288414e-05,True,inf
32,16,0.01,0.01,100,100,6.56e-10,6.37102817447859e-05,True,inf
32,16,0.01,0.05,70,80,7.354113520408166e-07,0.0021331567548477427,True,inf
32,16,0.01,0.05,80,100,5.1890625e-07,0.0017918516740721036,True,inf
32,16,0.01,0.05,100,100,4.1000000000000004e-07,0.0015927570436196476,True,inf
32,16,0.01,0.1,70,80,1.1766581632653065e-05,0.00853262701939097,True,inf
32,16,0.01,0.1,80,100,8.3025e-06,0.007167406696288414,True,inf
32,16,0.01,0.1,100,100,6.560000000000001e-06,0.00637102817447859,True,inf
32,16,0.01,0.5,70,80,0.007354113520408165,0.21331567548477426,True,inf
32,16,0.01,0.5,80,100,0.0051890625,0.17918516740721036,True,inf
32,16,0.01,0.5,100,100,0.0041,0.15927570436196475,True,inf
32,16,0.01,1.0,70,80,0.11766581632653064,0.853262701939097,True,inf
32,16,0.01,1.0,80,100,0.083025,0.7167406696288414,True,inf
32,16,0.01,1.0,100,100,0.0656,0.637102817447859,True,inf
32,16,0.05,0.001,70,80,1.1766581632653065e-13,3.738022965255231e-07,True,inf
32,16,0.05,0.001,80,100,8.3025e-14,3.139939290814394e-07,True,inf
