setup,trial,target_q,loss_power,loss_exp,rel_err_tail_power,rel_err_tail_exp,amplification_power,amplification_exp
Exponential (alpha=0.05),3,80,0.03221427833398055,0.013291685872024794,1764.3727632366363,0.9999397326389831,54769.898766310565,75.23046678889247
Exponential (alpha=0.05),4,20,0.021435944866436612,0.005751895678318869,9.50642825112791,0.899923528027777,443.48071941391976,156.4568584342518
Exponential (alpha=0.05),4,40,0.021435944866436612,0.005751895678318869,65.55253004206327,0.9835091958946242,3058.0658071034813,170.98870541600118
Exponential (alpha=0.05),4,60,0.021435944866436612,0.005751895678318869,434.59376962246023,0.9972826118398598,20274.066401553988,173.3832926465656
Exponential (alpha=0.05),4,80,0.021435944866436612,0.005751895678318869,2891.461057696004,0.9995522232651224,134888.43508309394,173.77787758895653
Exponential (alpha=0.05),5,20,0.009404155590860091,0.0016318320367539763,8.350751429090025,0.8870135321575925,887.9852473217418,543.5691367957585
Exponential (alpha=0.05),5,40,0.009404155590860091,0.0016318320367539763,57.86753738369373,0.9794714651940905,6153.400676800993,600.2281132696825
Exponential (alpha=0.05),5,60,0.009404155590860091,0.0016318320367539763,382.8208375292924,0.9962701662479636,40707.62481435853,610.5224944714357
Exponential (alpha=0.05),5,80,0.009404155590860091,0.0016318320367539763,2540.4869929271,0.9993223257307216,270145.14680361695,612.3928827296285
Exponential (alpha=0.05),6,20,0.005712987576009229,0.0015588942733038868,16.512252377997232,0.7263307788440737,2890.300767403639,465.9269014047868
Exponential (alpha=0.05),6,40,0.005712987576009229,0.0015588942733038868,112.70284611502072,0.9004589295328879,19727.479641049926,577.626683461251
Exponential (alpha=0.05),6,60,0.005712987576009229,0.0015588942733038868,754.9091947577983,0.9637941575311338,132139.12765989176,618.2549858690766
Exponential (alpha=0.05),6,80,0.005712987576009229,0.0015588942733038868,5077.1725769328,0.9868309329731252,888707.0921289696,633.0326239820129
Exponential (alpha=0.05),7,20,0.01147317385808832,0.0010054372964343448,9.41651837794208,0.8827323971959122,820.7422369428239,877.9586747462537
Exponential (alpha=0.05),7,40,0.01147317385808832,0.0010054372964343448,64.95344451346526,0.978048473885234,5661.331843412558,972.759292281079
Exponential (alpha=0.05),7,60,0.01147317385808832,0.0010054372964343448,430.55222135596676,0.9958908557244324,37526.86280570137,990.5051844264452
Exponential (alpha=0.05),7,80,0.01147317385808832,0.0010054372964343448,2864.0336490457753,0.9992308021503522,249628.71514206764,993.8270687790972
Exponential (alpha=0.05),8,20,0.010847129397675584,0.0022091906023720825,12.784846308540704,0.8273511006369713,1178.6386829774256,374.50417332669815
Exponential (alpha=0.05),8,40,0.010847129397675584,0.0022091906023720825,87.5142000778675,0.9560670799758045,8067.959444510068,432.76803663589504
Exponential (alpha=0.05),8,60,0.010847129397675584,0.0022091906023720825,583.3014154349421,0.9888206558571758,53774.72638117161,447.59408914190186
Exponential (alpha=0.05),8,80,0.010847129397675584,0.0022091906023720825,3903.5669912875615,0.9971552599870968,359870.9711865501,451.36678495058356
Exponential (alpha=0.05),9,20,0.00862957930572361,0.000801278218725546,10.910294840797414,0.8501365656556359,1264.2904657353133,1060.975507292367
Exponential (alpha=0.05),9,40,0.00862957930572361,0.000801278218725546,74.93049503488234,0.9658935677412733,8682.98353507237,1205.4409366975074
Exponential (alpha=0.05),9,60,0.00862957930572361,0.000801278218725546,497.97026501112964,0.9922379416532516,57705.04532279383,1238.3188725547952
Exponential (alpha=0.05),9,80,0.00862957930572361,0.000801278218725546,3322.1436549124287,0.9982334842492082,384971.681333762,1245.8013454941074
Exponential (alpha=0.05),10,20,0.007147878361846609,0.0021078149866723623,12.457446957965704,0.8081668234217134,1742.8174243587132,383.4144970731817
Exponential (alpha=0.05),10,40,0.007147878361846609,0.0021078149866723623,85.31183038938505,0.9469842485695826,11935.266110965269,449.27294573198157
Exponential (alpha=0.05),10,60,0.007147878361846609,0.0021078149866723623,568.3452946007218,0.9853483638759835,79512.44631622144,467.4738388515271
Exponential (alpha=0.05),10,80,0.007147878361846609,0.0021078149866723623,3801.5442239517147,0.9959508177223955,531842.3217316428,472.50390738620445
Exponential (alpha=0.05),11,20,0.008634477493556525,0.0002683223234810642,7.714712330744913,0.897956463185326,893.4776117730963,3346.558900464116
Exponential (alpha=0.05),11,40,0.008634477493556525,0.0002683223234810642,53.653479837665984,0.9829188666134334,6213.865271116984,3663.20196619644
Exponential (alpha=0.05),11,60,0.008634477493556525,0.0002683223234810642,354.5021751334455,0.9971407780749144,41056.5868469674,3716.2050530211613
Exponential (alpha=0.05),11,80,0.008634477493556525,0.0002683223234810642,2348.8832411926114,0.9995213929991066,272035.3655068797,3725.077273880146
Exponential (alpha=0.05),12,20,0.009990191640353687,0.0012301634896680813,11.535491129159,0.8460643031910388,1154.6816661062492,687.7657397648464
Exponential (alpha=0.05),12,40,0.009990191640353687,0.0012301634896680813,79.12012363699534,0.9642157302063281,7919.780368324789,783.8110442398828
Exponential (alpha=0.05),12,60,0.009990191640353687,0.0012301634896680813,526.3461324620298,0.9916815008395257,52686.289848861095,806.1379713853806
Exponential (alpha=0.05),12,80,0.009990191640353687,0.0012301634896680813,3515.305900002281,0.9980662612736739,351875.722328581,811.3281436531992
Exponential (alpha=0.05),13,20,0.014047904789635616,0.0011645538420194544,6.319296775812092,0.9272818833598651,449.8390948680517,796.2550541721705
Exponential (alpha=0.05),13,40,0.014047904789635616,0.0011645538420194544,44.45305309052064,0.9907570011240936,3164.3902598310037,850.7610077995703
Exponential (alpha=0.05),13,60,0.014047904789635616,0.0011645538420194544,292.8781501647826,0.9988251479525279,20848.528982059746,857.68910895762
Exponential (alpha=0.05),13,80,0.014047904789635616,0.0011645538420194544,1932.990857217529,0.9998506678022167,137599.94006409182,858.5697207522878
