setup_index,spectrum_family,setup_name,matrix_seed,risk_name,q,bootstrap_count,bootstrap_frequency,bootstrap_samples,bootstrap_seed
1,power,power_c_0.7,42001,oracle_risk,76,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,0,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,1,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,2,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,3,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,4,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,5,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,6,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,7,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,8,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,9,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,10,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,11,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,12,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,13,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,14,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,15,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,16,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,17,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,18,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,19,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,20,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,21,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,22,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,23,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,24,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,25,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,26,0,0.0,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,27,2001,0.10005,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,28,13978,0.6989,20000,20260816
1,power,power_c_0.7,42001,gaussian_risk,29,4002,0.2001,20000,20260816
