matrix_name,family,param,q,mse,rmse,rel_rmse
PowerLaw (alpha=0.5),Power Law Sweep,0.5,4,0.028776301619804854,0.16963579109316776,0.009125304266409636
PowerLaw (alpha=0.5),Power Law Sweep,0.5,6,0.03687622338612619,0.1920318290964448,0.010330065713418962
PowerLaw (alpha=0.5),Power Law Sweep,0.5,8,0.02637072796141586,0.16239066463752114,0.008735563499261752
PowerLaw (alpha=0.5),Power Law Sweep,0.5,10,0.0464793597888851,0.21559072287295922,0.011597381251639581
PowerLaw (alpha=0.5),Power Law Sweep,0.5,12,0.057218080631164805,0.2392030113338141,0.012867569077233494
PowerLaw (alpha=0.5),Power Law Sweep,0.5,14,0.05594845931755941,0.23653426668785096,0.012724007941067424
PowerLaw (alpha=0.5),Power Law Sweep,0.5,16,0.05480257353465909,0.23409949494746693,0.012593033028243411
PowerLaw (alpha=0.5),Power Law Sweep,0.5,18,0.0509403212288941,0.22569962611598207,0.012141174617991229
PowerLaw (alpha=0.5),Power Law Sweep,0.5,20,0.039791548911162454,0.19947819156780636,0.010730631671765738
PowerLaw (alpha=0.5),Power Law Sweep,0.5,22,0.10620731679372875,0.32589464063363904,0.01753101592187498
PowerLaw (alpha=0.5),Power Law Sweep,0.5,24,0.10718371834836259,0.32738924592656155,0.017611415983490593
PowerLaw (alpha=0.5),Power Law Sweep,0.5,26,0.17561352837305597,0.41906267833470445,0.022542851492940313
PowerLaw (alpha=0.5),Power Law Sweep,0.5,28,0.296598087854651,0.5446081966465902,0.029296385322666426
PowerLaw (alpha=1.0),Power Law Sweep,1.0,2,0.022145990322488554,0.14881528927663498,0.028687962032952145
PowerLaw (alpha=1.0),Power Law Sweep,1.0,4,0.01267975922768596,0.11260443698045809,0.021707391952397515
PowerLaw (alpha=1.0),Power Law Sweep,1.0,6,0.0055059580674654395,0.0742021432808072,0.014304365361588514
PowerLaw (alpha=1.0),Power Law Sweep,1.0,8,0.004981265026780477,0.07057807752255991,0.013605733780230942
PowerLaw (alpha=1.0),Power Law Sweep,1.0,10,0.0036702021736600855,0.06058219353622057,0.01167877088764245
PowerLaw (alpha=1.0),Power Law Sweep,1.0,12,0.004035425931777213,0.06352500241461792,0.012246072740725316
PowerLaw (alpha=1.0),Power Law Sweep,1.0,14,0.0026989695453545964,0.051951607726369704,0.010015004219320616
PowerLaw (alpha=1.0),Power Law Sweep,1.0,16,0.0031855475551130644,0.05644065516197579,0.010880383193636853
PowerLaw (alpha=1.0),Power Law Sweep,1.0,18,0.002444011310061814,0.04943694276613203,0.009530238082349365
PowerLaw (alpha=1.0),Power Law Sweep,1.0,20,0.0032067397808054022,0.056628082969542616,0.010916514708439753
PowerLaw (alpha=1.0),Power Law Sweep,1.0,22,0.0029830764499565333,0.054617547088426935,0.010528932375309212
PowerLaw (alpha=1.0),Power Law Sweep,1.0,24,0.004699737197030092,0.06855462928956797,0.013215662260255534
PowerLaw (alpha=1.0),Power Law Sweep,1.0,26,0.006416784821627621,0.08010483644342345,0.015442260789971006
PowerLaw (alpha=1.0),Power Law Sweep,1.0,28,0.011208620274271396,0.10587077157682094,0.020409305321775508
PowerLaw (alpha=1.5),Power Law Sweep,1.5,2,0.004920400791198681,0.07014556857848314,0.029071375342860986
PowerLaw (alpha=1.5),Power Law Sweep,1.5,4,0.0019053805217951253,0.04365066462031392,0.018090734466321572
PowerLaw (alpha=1.5),Power Law Sweep,1.5,6,0.001201204282826867,0.03465839411783049,0.014363946356111261
PowerLaw (alpha=1.5),Power Law Sweep,1.5,8,0.0005916953665841832,0.024324789137507095,0.010081250882744051
