step_rank,basis_trial,eta,budget,s,pair,accounting_feasible,truth_label,dangerous_error_q90,dangerous_error_q95,dangerous_error_q975,dangerous_error_q99,shifted_error_q90,shifted_error_q95,shifted_error_q975,shifted_error_q99
5,7,1e-10,240,4,primary,True,1,1.8639409001562212e-22,2.675634946196202e-22,3.0861599904151904e-22,3.302993599037581e-22,7.903456239929876e-22,1.0700014804181442e-21,1.5402909857803293e-21,2.350895328830379e-21
5,7,1e-10,80,4,right,True,1,6.659681077032201e-22,8.537441496084798e-22,9.75916261367402e-22,1.1124172139754853e-21,2.9335629510219015e-21,4.408454643982021e-21,6.052405172308476e-21,7.545224645433005e-21
5,7,1e-10,160,4,right,True,1,2.866272922782889e-22,3.74242580718895e-22,4.222259306758273e-22,5.099756969037505e-22,1.3257065690484034e-21,1.9928150579861902e-21,2.739906078206604e-21,3.438785171875202e-21
5,7,1e-10,240,4,right,True,1,1.9145605481595892e-22,2.471756547204801e-22,2.7636139255575235e-22,3.308311110743202e-22,8.623730508895564e-22,1.2876552421812734e-21,1.77105033262168e-21,2.22712879799101e-21
5,8,1e-10,80,4,left,True,1,0.029093614537505023,0.029811007350225616,0.02994026207930895,0.03003418841118676,0.029093614537505023,0.029811007350225616,0.02994026207930895,0.03003418841118676
5,8,1e-10,160,4,left,True,1,0.01315190794161186,0.013476208802156787,0.013534639022153362,0.013577098870810456,0.01315190794161186,0.013476208802156787,0.013534639022153362,0.013577098870810456
5,8,1e-10,240,4,left,True,1,0.00849636530741297,0.008705869403163233,0.008743616359444206,0.008771046173178434,0.00849636530741297,0.008705869403163233,0.008743616359444206,0.008771046173178434
5,8,1e-10,80,4,primary,True,1,6.496873782948757e-22,8.764875690481109e-22,9.908356760408415e-22,1.3490893256207825e-21,2.278406878045065e-21,3.550709276910451e-21,4.887525985759488e-21,6.4386163023846265e-21
5,8,1e-10,160,4,primary,True,1,2.792855879897774e-22,4.0849245329618296e-22,4.618198026667961e-22,6.132782840092312e-22,1.0296335243175136e-21,1.635828615654976e-21,2.2424832422284507e-21,3.0398766450204166e-21
5,8,1e-10,240,4,primary,True,1,1.9234236361356756e-22,2.6086424835164053e-22,3.1107168781125047e-22,3.969274396432002e-22,6.652349657778473e-22,1.0629002064389781e-21,1.4553408316783105e-21,1.9890852102134867e-21
5,8,1e-10,80,4,right,True,1,6.598755655748122e-22,8.910824930490861e-22,1.291951502523206e-21,1.6255105677399754e-21,3.2114069093543367e-21,4.469164366088695e-21,5.259364698268694e-21,1.0346813738137904e-20
5,8,1e-10,160,4,right,True,1,2.888800449254845e-22,4.426921419328728e-22,6.270849508323544e-22,7.367190709256581e-22,1.4280943251861441e-21,2.0176928686306632e-21,2.373530791905084e-21,4.709034749549817e-21
5,8,1e-10,240,4,right,True,1,1.8837342360861416e-22,3.0024421771380137e-22,4.131256345572089e-22,4.854673845842771e-22,9.184125404296297e-22,1.3031541754086093e-21,1.5329296008663999e-21,3.048560887876052e-21
5,9,1e-10,80,4,left,True,1,0.028796044243824766,0.029440045396289364,0.029785920358413213,0.029967672786498485,0.028796044243824766,0.029440045396289364,0.029785920358413213,0.029967672786498485
5,9,1e-10,160,4,left,True,1,0.013017389863646813,0.013308513672295193,0.013464868107227891,0.013547030163759589,0.013017389863646813,0.013308513672295193,0.013464868107227891,0.013547030163759589
5,9,1e-10,240,4,left,True,1,0.008409464248196613,0.008597535381217247,0.008698543113518902,0.008751621256234072,0.008409464248196613,0.008597535381217247,0.008698543113518902,0.008751621256234072
5,9,1e-10,80,4,primary,True,1,7.485183420751231e-22,9.12716847718551e-22,1.0797306986786432e-21,1.2598059477521786e-21,2.303312776628028e-21,4.1801407535981366e-21,4.8937397462682126e-21,6.975294603625217e-21
5,9,1e-10,160,4,primary,True,1,3.209052490576546e-22,4.039257124368088e-22,5.032128338056721e-22,5.614405827037147e-22,1.0398548104392416e-21,1.9290620191143827e-21,2.2634072432357767e-21,3.2205522054270806e-21
5,9,1e-10,240,4,primary,True,1,2.0847594283900374e-22,2.6243821365254613e-22,3.505138606897163e-22,3.7006425322038457e-22,6.717710328184524e-22,1.2540459753420354e-21,1.4723454744663036e-21,2.093915672558403e-21
5,9,1e-10,80,4,right,True,1,8.464641436344649e-22,9.788652046645662e-22,1.2271381252156223e-21,1.724905255959162e-21,3.406619950999593e-21,4.7050115735471805e-21,6.101124247602048e-21,6.823228479606856e-21
