matrix_name,family,param,trial,gamma_gap,tau_ratio,gap_loc,kappa,decay_slope,top4_energy
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,5,3.8870450858670287,48.76657237684964,4,49.86601851582048,-2.3976846643920338,0.980204753874969
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,6,3.8980972447677273,49.30853771054031,4,49.87537642895196,-2.3978333914898915,0.980274039782546
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,7,3.8789526388955564,48.373523982537485,4,49.87308264344795,-2.3981061290396855,0.9801816526364149
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,8,3.855167164365096,47.23651254295331,4,49.850008581911,-2.3977342490605715,0.9800416762727464
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,9,3.865229665255049,47.714229475096445,4,49.80997876511855,-2.3968293807445034,0.980068022472253
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,10,3.898651808737094,49.335890032541855,4,49.88688979576224,-2.396958832362247,0.9802400406285364
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,11,3.898151493765336,49.311212721842345,4,49.86589987494879,-2.3972375287923198,0.9802470809520859
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,12,3.8907242513786864,48.94632313168656,4,49.85979971074262,-2.3969558367103465,0.9801987749076841
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,13,3.9034067083167825,49.571035839635314,4,49.9230379940835,-2.3981867397544647,0.9803082554594658
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,14,3.8732112321498433,48.09658766837925,4,49.861612710925975,-2.3978521730029847,0.9801328080819928
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,15,3.867219630082547,47.80927364944079,4,49.94359543650027,-2.398776452940239,0.9801268885067921
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,16,3.7911469849016584,44.30719082132777,4,49.88476697008874,-2.399337045747477,0.9797575017636556
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,17,3.893043118489784,49.05995484811293,4,49.873175845859905,-2.397060122950984,0.9802075239316895
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,18,3.8864980544261956,48.73990282370493,4,49.90866267881387,-2.3974338760365437,0.98018199354508
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,19,3.858304729790972,47.38495294050211,4,49.928635743078296,-2.398495203228206,0.9800552158801996
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,20,3.8964411158022103,49.22694399649656,4,49.9190373353633,-2.398203672718657,0.9802665326382966
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,21,3.8546983863362665,47.21437429308262,4,49.92200783383767,-2.398394697540319,0.9800328725104656
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,22,3.900823343196935,49.44314102532206,4,49.95866229975126,-2.3983642499237137,0.9802910390091379
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,23,3.833887388276322,46.24194970040334,4,49.87622676150215,-2.3978119918223375,0.9799020935555149
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,24,3.874860075308637,48.17595681357198,4,49.94615359195573,-2.3990614259456877,0.980177377177654
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,25,3.8914905281970906,48.98384393827469,4,49.81826514295556,-2.3972106896320833,0.9802237665165117
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,26,3.8979821123858405,49.3028610279376,4,49.90299994500367,-2.3980604590764663,0.9802713136683752
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,27,3.8761433595145927,48.23781994355668,4,49.93352996814228,-2.3983927379658323,0.9801612040569254
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,28,3.8818781185395403,48.51524694499988,4,49.883283116609526,-2.3980544039811047,0.9801835486063658
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,29,3.8820069239687665,48.521496374678236,4,49.93764737395461,-2.397296202334564,0.9801240968150469
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,30,3.890073963233163,48.914504264824316,4,49.89534267902914,-2.3978841855090733,0.98021976203167
