eta,budget,s,pair,step_rank,scope,eligible_paths,true_better_paths,true_worse_paths,truth_tie_paths,covariance_contribution,pairing_variance_ratio,shifted_variance_ratio,dangerous_error_q95,dangerous_error_q99,zero_radius_accept_probability,batch_pairing_ratio_std
1e-10,160,4,primary,15,rank,200,1,199,0,0.9372177121354174,0.0627822878645825,1.0027513912508617,8.62925469991098e-22,1.4287204352797002e-21,0.33814999999999995,0.030817045685268222
1e-10,160,4,primary,30,rank,200,0,200,0,0.9623411849625784,0.0376588150374216,1.0001829140180911,1.589905704554827e-21,2.7218841162129748e-21,0.292925,0.016932633540067618
1e-10,160,4,right,5,rank,200,0,200,0,0.8645533905440135,0.13544660945598647,0.9996802154670169,4.509013533024706e-22,7.1306797927313685e-22,0.34102499999999997,0.06733028283438144
1e-10,160,4,right,15,rank,200,0,200,0,0.9383120345375144,0.06168796546248558,1.0025954440079263,9.024140259187724e-22,1.494838942919635e-21,0.333225,0.02887441625167935
1e-10,160,4,right,30,rank,200,0,200,0,0.9628278589374297,0.0371721410625703,1.0022926699965597,1.6976556351355744e-21,2.9232289244054074e-21,0.287925,0.016669367920797876
1e-10,160,8,left,5,rank,200,0,200,0,1.8568292305949323e-20,1.0,1.0,0.012986153230672055,0.013587119631580822,0.0,0.0
1e-10,160,8,left,15,rank,200,0,200,0,1.704689247684352e-20,1.0,1.0,0.015159288306765073,0.015834900647944673,0.0,0.0
1e-10,160,8,left,30,rank,200,0,200,0,1.6535273510180755e-20,1.0,1.0,0.02010020362755371,0.02098866159367068,0.0,0.0
1e-10,160,8,primary,5,rank,200,0,200,0,0.8498602630087285,0.15013973699127156,0.9986230710894382,2.8925676022827297e-22,3.907506009516715e-22,0.21072499999999997,0.06211717633817315
1e-10,160,8,primary,15,rank,200,0,200,0,0.9353601102789534,0.06463988972104667,1.0107832392065128,6.070687880673063e-22,8.85651069091765e-22,0.204375,0.025856567699747673
1e-10,160,8,primary,30,rank,200,0,200,0,0.9581782942286479,0.04182170577135211,0.9950479313779297,1.1839519260034304e-21,1.763999466637348e-21,0.13785,0.014134191195970898
1e-10,160,8,right,5,rank,200,0,200,0,0.8637820026392952,0.13621799736070483,0.9968453571066508,3.221418450304324e-22,4.449405519163138e-22,0.2193,0.05820079576201173
1e-10,160,8,right,15,rank,200,0,200,0,0.9373421467385877,0.0626578532614123,1.0122896681907292,6.392095840089991e-22,9.292213443245975e-22,0.203925,0.022876518372582425
1e-10,160,8,right,30,rank,200,0,200,0,0.9587430406636558,0.04125695933634429,0.9968524540615146,1.2390323299557992e-21,1.8637841424059995e-21,0.13237500000000002,0.014202900626727416
1e-10,160,16,left,5,rank,200,0,200,0,1.7718844636738998e-20,1.0,1.0,0.012252815478090272,0.013381811547929523,0.0,0.0
1e-10,160,16,left,15,rank,200,0,200,0,1.6040008708218348e-20,1.0,1.0,0.014398082700468646,0.01575418069498434,0.0,0.0
1e-10,160,16,left,30,rank,200,0,200,0,1.546339645333052e-20,1.0,1.0,0.019520650232217166,0.021358944517584143,0.0,0.0
1e-10,160,16,primary,5,rank,200,0,200,0,0.8364546376047518,0.16354536239524833,1.0040302384325137,2.3884475381583505e-22,2.9593148964891933e-22,0.05415000000000001,0.05326630191516925
1e-10,160,16,primary,15,rank,200,0,200,0,0.9236423733547905,0.07635762664520945,1.005556949869105,5.000288201515655e-22,6.621173873761005e-22,0.042550000000000004,0.02240706949570326
1e-10,160,16,primary,30,rank,200,0,200,0,0.9437052066904538,0.05629479330954622,0.9947985814163275,1.092463444617166e-21,1.4274663296758251e-21,0.011550000000000003,0.01292953771146885
1e-10,160,16,right,5,rank,200,0,200,0,0.8548687433584534,0.1451312566415466,0.997900684845654,2.649036535505702e-22,3.3026040339259697e-22,0.05687500000000001,0.05090719608687049
1e-10,160,16,right,15,rank,200,0,200,0,0.9279148901838522,0.07208510981614788,1.0073928338588853,5.293777787135363e-22,6.88658258300865e-22,0.038175,0.019941972338089045
1e-10,160,16,right,30,rank,200,0,200,0,0.9429710534125568,0.05702894658744318,0.9931867259672846,1.1526974062984652e-21,1.5240021367397974e-21,0.010674999999999999,0.014155696304673877
1e-10,160,32,left,5,rank,200,0,200,0,1.51533278638586e-20,1.0,1.0,0.011680828396119074,0.013351196312657729,0.0,0.0
1e-10,160,32,left,15,rank,200,0,200,0,1.3209598433432721e-20,1.0,1.0,0.014083851313861579,0.016043139898804487,0.0,0.0
1e-10,160,32,left,30,rank,200,0,200,0,1.3087861718761776e-20,1.0,1.0,0.020196402966129328,0.023165795581118545,0.0,0.0
1e-10,160,32,primary,5,rank,200,0,200,0,0.804694230607736,0.19530576939226404,1.0096165430400865,2.297792155886005e-22,2.7879229165922125e-22,0.00017500000000000003,0.04736083894362806
