dimension,step_rank,eta,budget,batch,orientation_seed,trials,q_rank_star,q_gaussian_star,gaussian_shift_from_rank,gaussian_mean_risk_ratio_k_to_kp1,gaussian_path_improvement_rate,q_rademacher_star,rademacher_shift_from_rank,rademacher_mean_risk_ratio_k_to_kp1,rademacher_path_improvement_rate
500,15,1e-08,240,1,91111,50,15,15,0,0.9925383214439052,0.0,15,0,0.930502080683577,0.0
500,15,1e-06,80,1,91111,50,15,15,0,0.9675204657524379,0.04,16,1,1.0297642345008835,0.06
500,15,1e-06,160,1,91111,50,15,15,0,0.9923286828230135,0.06,16,1,1.0561684456419322,0.06
500,15,1e-06,240,1,91111,50,15,15,0,0.9982354011731503,0.06,16,1,1.062455162580277,0.06
500,15,0.0001,80,1,91111,50,15,16,1,36.10099900877629,0.34,17,2,967.3195454005024,0.5
500,15,0.0001,160,1,91111,50,15,16,1,37.02666565002697,0.42,17,2,992.1226106671816,0.5
500,15,0.0001,240,1,91111,50,15,16,1,37.24706246937238,0.48,17,2,998.0281023973437,0.52
500,15,0.01,80,1,91111,50,15,21,6,2.1276176498625294,0.94,25,10,2.4391389694473897,0.96
500,15,0.01,160,1,91111,50,15,24,9,2.1821719485769524,0.98,27,12,2.501680994305016,0.98
500,15,0.01,240,1,91111,50,15,26,11,2.195161067318482,0.98,27,12,2.51657195260445,0.98
500,15,1e-08,80,2,91112,50,15,15,0,0.961998330352739,0.0,15,0,0.9018840863491162,0.0
500,15,1e-08,160,2,91112,50,15,15,0,0.9866649542079375,0.0,15,0,0.9250093193324269,0.0
500,15,1e-08,240,2,91112,50,15,15,0,0.992537959887747,0.0,15,0,0.930515327185596,0.0
500,15,1e-06,80,2,91112,50,15,15,0,0.9678206233216937,0.02,16,1,1.0402884640402033,0.08
500,15,1e-06,160,2,91112,50,15,15,0,0.9926365367401989,0.06,16,1,1.0669625272207213,0.08
500,15,1e-06,240,2,91112,50,15,15,0,0.9985450875541289,0.08,16,1,1.0733134946446536,0.08
500,15,0.0001,80,2,91112,50,15,17,2,32.93373404535073,0.26,17,2,192.28815516044807,0.52
500,15,0.0001,160,2,91112,50,15,17,2,33.77818876446228,0.4,17,2,197.21862067738266,0.52
500,15,0.0001,240,2,91112,50,15,17,2,33.9792494118698,0.52,17,2,198.3925410385575,0.52
500,15,0.01,80,2,91112,50,15,20,5,2.040683536525735,0.98,25,10,2.3192275415242976,0.98
500,15,0.01,160,2,91112,50,15,23,8,2.09300875541101,1.0,27,12,2.378694914383894,1.0
500,15,0.01,240,2,91112,50,15,25,10,2.1054671408598846,1.0,27,12,2.3928538126837986,1.0
500,30,1e-08,80,0,91120,50,30,30,0,0.9019717176332633,0.0,30,0,0.8729066518596259,0.0
500,30,1e-08,160,0,91120,50,30,30,0,0.9821469814228869,0.0,30,0,0.9504983542471482,0.0
500,30,1e-08,240,0,91120,50,30,30,0,0.9910553440661782,0.0,30,0,0.9591196545124288,0.0
500,30,1e-06,80,0,91120,50,30,30,0,0.936372546322799,0.08,31,1,1.3516806693900558,0.16
500,30,1e-06,160,0,91120,50,30,31,1,1.0196056615514926,0.12,31,1,1.4718300622247276,0.18
500,30,1e-06,240,0,91120,50,30,31,1,1.0288537854657915,0.18,31,1,1.4851799947619138,0.18
500,30,0.0001,80,0,91120,50,30,32,2,109.37632517121642,0.42,32,2,202.61316761291405,0.66
500,30,0.0001,160,0,91120,50,30,32,2,119.09866518643572,0.64,33,3,220.62322695628424,0.74
500,30,0.0001,240,0,91120,50,30,32,2,120.17892518812673,0.7,33,3,222.6243446611031,0.76
500,30,0.01,80,0,91120,50,30,35,5,1.7997437249714856,0.9,36,6,1.9370903155014318,0.92
500,30,0.01,160,0,91120,50,30,39,9,1.9597209449689506,1.0,44,14,2.109276121323781,1.0
500,30,0.01,240,0,91120,50,30,43,13,1.9774961916353357,1.0,47,17,2.128407877526264,1.0
500,30,1e-08,80,1,91121,50,30,30,0,0.901929060541598,0.0,30,0,0.8728372286939046,0.0
500,30,1e-08,160,1,91121,50,30,30,0,0.9821005325897402,0.0,30,0,0.9504227601333626,0.0
500,30,1e-08,240,1,91121,50,30,30,0,0.991008473928423,0.0,30,0,0.9590433747377471,0.0
500,30,1e-06,80,1,91121,50,30,30,0,0.9041319928822864,0.0,30,0,0.8933677099939509,0.06
500,30,1e-06,160,1,91121,50,30,30,0,0.9844992811384891,0.06,30,0,0.9727781731045242,0.06
500,30,1e-06,240,1,91121,50,30,30,0,0.9934289798336235,0.06,30,0,0.981601557894588,0.06
500,30,0.0001,80,1,91121,50,30,31,1,12.227053203972206,0.3,32,2,152.44263621069007,0.48
500,30,0.0001,160,1,91121,50,30,31,1,13.313902377658623,0.46,32,2,165.99309276275142,0.66
500,30,0.0001,240,1,91121,50,30,32,2,13.434663396957115,0.62,32,2,167.49869904631382,0.66
500,30,0.01,80,1,91121,50,30,35,5,1.8301945499106502,0.9,36,6,1.9999346333413115,0.9
500,30,0.01,160,1,91121,50,30,41,11,1.9928785099027073,0.98,44,14,2.177706600749427,0.98
500,30,0.01,240,1,91121,50,30,43,13,2.0109545054573807,0.98,46,16,2.197459041572551,0.98
500,30,1e-08,80,2,91122,50,30,30,0,0.9019365892317176,0.0,30,0,0.8728308367741503,0.0
500,30,1e-08,160,2,91122,50,30,30,0,0.9821087304967592,0.0,30,0,0.9504158000429639,0.0
500,30,1e-08,240,2,91122,50,30,30,0,0.9910167461928753,0.0,30,0,0.9590363515172764,0.0
500,30,1e-06,80,2,91122,50,30,30,0,0.9075693650119495,0.02,30,0,0.9377762822813162,0.06
500,30,1e-06,160,2,91122,50,30,30,0,0.9882421974574565,0.06,31,1,1.0211341740396551,0.08
500,30,1e-06,240,2,91122,50,30,30,0,0.9972058455069571,0.08,31,1,1.030396162012804,0.08
500,30,0.0001,80,2,91122,50,30,31,1,34.79781555988181,0.28,32,2,365.9229064412585,0.6
500,30,0.0001,160,2,91122,50,30,32,2,37.8909547207602,0.54,32,2,398.44938701381466,0.74
500,30,0.0001,240,2,91122,50,30,32,2,38.23463684974669,0.68,32,2,402.06344041076545,0.76
500,30,0.01,80,2,91122,50,30,34,4,1.7951013130261007,0.9,36,6,1.9411493286647374,0.94
500,30,0.01,160,2,91122,50,30,40,10,1.9546658741839766,1.0,44,14,2.1136959356571587,1.0
500,30,0.01,240,2,91122,50,30,44,14,1.972395269868185,1.0,46,16,2.1328677808785392,1.0
