alpha,trial,extrapolation_dist,target_q,alpha_hat,delta_alpha,loss_pilot,log_tail_error,theoretical_exponent
0.05,27,20,30,0.10337965383360159,0.05337965383360159,0.004498351852918016,3.7771487014300242,3.2027792300160955
0.05,27,30,40,0.10337965383360159,0.05337965383360159,0.004498351852918016,4.8447417781020565,4.270372306688127
0.05,27,40,50,0.10337965383360159,0.05337965383360159,0.004498351852918016,5.9123348547740875,5.337965383360159
0.05,27,50,60,0.10337965383360159,0.05337965383360159,0.004498351852918016,6.97992793144612,6.405558460032191
0.05,27,60,70,0.10337965383360159,0.05337965383360159,0.004498351852918016,8.04752100811815,7.473151536704223
0.05,27,70,80,0.10337965383360159,0.05337965383360159,0.004498351852918016,9.115114084790182,8.540744613376255
0.05,28,10,20,0.08499382067571819,0.034993820675718185,0.0006110180050930908,1.7961016266958032,1.3997528270287274
0.05,28,20,30,0.08499382067571819,0.034993820675718185,0.0006110180050930908,2.495978040210167,2.099629240543091
0.05,28,30,40,0.08499382067571819,0.034993820675718185,0.0006110180050930908,3.195854453724531,2.7995056540574548
0.05,28,40,50,0.08499382067571819,0.034993820675718185,0.0006110180050930908,3.895730867238895,3.4993820675718186
0.05,28,50,60,0.08499382067571819,0.034993820675718185,0.0006110180050930908,4.595607280753258,4.199258481086182
0.05,28,60,70,0.08499382067571819,0.034993820675718185,0.0006110180050930908,5.295483694267621,4.899134894600546
0.05,28,70,80,0.08499382067571819,0.034993820675718185,0.0006110180050930908,5.995360107781985,5.5990113081149095
0.05,29,10,20,0.10477641203915941,0.05477641203915941,0.003427623393637876,2.777498116412253,2.1910564815663762
0.05,29,20,30,0.10477641203915941,0.05477641203915941,0.003427623393637876,3.873026357195441,3.2865847223495646
0.05,29,30,40,0.10477641203915941,0.05477641203915941,0.003427623393637876,4.968554597978629,4.3821129631327524
0.05,29,40,50,0.10477641203915941,0.05477641203915941,0.003427623393637876,6.064082838761816,5.477641203915941
0.05,29,50,60,0.10477641203915941,0.05477641203915941,0.003427623393637876,7.159611079545005,6.573169444699129
0.05,29,60,70,0.10477641203915941,0.05477641203915941,0.003427623393637876,8.255139320328194,7.668697685482317
0.05,29,70,80,0.10477641203915941,0.05477641203915941,0.003427623393637876,9.350667561111383,8.764225926265505
0.05,30,10,20,0.09051111788631623,0.04051111788631623,0.0013645446143138258,2.07433165734102,1.6204447154526491
0.05,30,20,30,0.09051111788631623,0.04051111788631623,0.0013645446143138258,2.8845540150673443,2.4306670731789737
0.05,30,30,40,0.09051111788631623,0.04051111788631623,0.0013645446143138258,3.6947763727936684,3.2408894309052982
0.05,30,40,50,0.09051111788631623,0.04051111788631623,0.0013645446143138258,4.504998730519993,4.051111788631623
0.05,30,50,60,0.09051111788631623,0.04051111788631623,0.0013645446143138258,5.315221088246318,4.861334146357947
0.05,30,60,70,0.09051111788631623,0.04051111788631623,0.0013645446143138258,6.125443445972642,5.671556504084272
0.05,30,70,80,0.09051111788631623,0.04051111788631623,0.0013645446143138258,6.935665803698966,6.4817788618105965
0.05,31,10,20,0.08892203132302448,0.03892203132302448,0.00029805895688243177,1.994597024878637,1.556881252920979
0.05,31,20,30,0.08892203132302448,0.03892203132302448,0.00029805895688243177,2.7730376513391266,2.3353218793814685
0.05,31,30,40,0.08892203132302448,0.03892203132302448,0.00029805895688243177,3.551478277799616,3.113762505841958
0.05,31,40,50,0.08892203132302448,0.03892203132302448,0.00029805895688243177,4.329918904260106,3.892203132302448
0.05,31,50,60,0.08892203132302448,0.03892203132302448,0.00029805895688243177,5.1083595307205965,4.670643758762937
0.05,31,60,70,0.08892203132302448,0.03892203132302448,0.00029805895688243177,5.886800157181084,5.4490843852234265
0.05,31,70,80,0.08892203132302448,0.03892203132302448,0.00029805895688243177,6.665240783641575,6.227525011683916
