eta,budget,s,pair,estimator,epsilon,rank_scope,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability
1e-10,80,4,right,paired_mean,0.2,equal_rank,0.11810833333333333,0.188725,0.6931666666666668,0.188725,0.11810833333333333,0.0,0.0,0.11810833333333333
1e-10,80,4,right,paired_mean,0.3333333333333333,5,0.0906,0.1797,0.7297,0.1797,0.0906,0.0,0.0,0.0906
1e-10,80,4,right,paired_mean,0.3333333333333333,15,0.061950000000000005,0.089725,0.8483250000000001,0.089725,0.061950000000000005,0.0,0.0,0.061950000000000005
1e-10,80,4,right,paired_mean,0.3333333333333333,30,0.0426,0.05625,0.9011500000000001,0.05625,0.0426,0.0,0.0,0.0426
1e-10,80,4,right,paired_mean,0.3333333333333333,equal_rank,0.06505000000000001,0.10855833333333335,0.8263916666666669,0.10855833333333335,0.06505000000000001,0.0,0.0,0.06505000000000001
1e-10,80,4,right,paired_mean,0.5,5,0.048900000000000006,0.102275,0.8488249999999999,0.102275,0.048900000000000006,0.0,0.0,0.048900000000000006
1e-10,80,4,right,paired_mean,0.5,15,0.030750000000000003,0.044475,0.9247749999999999,0.044475,0.030750000000000003,0.0,0.0,0.030750000000000003
1e-10,80,4,right,paired_mean,0.5,30,0.01915,0.023575000000000002,0.9572749999999999,0.023575000000000002,0.01915,0.0,0.0,0.01915
1e-10,80,4,right,paired_mean,0.5,equal_rank,0.032933333333333335,0.056775,0.9102916666666666,0.056775,0.032933333333333335,0.0,0.0,0.032933333333333335
1e-10,80,4,right,sample_variance,0.0,5,0.4042,0.5958,0.0,0.5958,0.4042,0.0,0.0,0.4042
1e-10,80,4,right,sample_variance,0.0,15,0.44265,0.55735,0.0,0.55735,0.44265,0.0,0.0,0.44265
1e-10,80,4,right,sample_variance,0.0,30,0.4639,0.5361,0.0,0.5361,0.4639,0.0,0.0,0.4639
1e-10,80,4,right,sample_variance,0.0,equal_rank,0.4369166666666667,0.5630833333333334,0.0,0.5630833333333334,0.4369166666666667,0.0,0.0,0.4369166666666667
1e-10,80,4,right,sample_variance,0.2,5,0.092,0.24359999999999998,0.6644000000000001,0.24359999999999998,0.092,0.0,0.0,0.092
1e-10,80,4,right,sample_variance,0.2,15,0.067525,0.12560000000000002,0.806875,0.12560000000000002,0.067525,0.0,0.0,0.067525
1e-10,80,4,right,sample_variance,0.2,30,0.04835,0.07675,0.8748999999999999,0.07675,0.04835,0.0,0.0,0.04835
1e-10,80,4,right,sample_variance,0.2,equal_rank,0.06929166666666667,0.14864999999999998,0.7820583333333334,0.14864999999999998,0.06929166666666667,0.0,0.0,0.06929166666666667
1e-10,80,4,right,sample_variance,0.3333333333333333,5,0.041624999999999995,0.140375,0.818,0.140375,0.041624999999999995,0.0,0.0,0.041624999999999995
1e-10,80,4,right,sample_variance,0.3333333333333333,15,0.027425000000000005,0.054675,0.9178999999999999,0.054675,0.027425000000000005,0.0,0.0,0.027425000000000005
1e-10,80,4,right,sample_variance,0.3333333333333333,30,0.0184,0.028925,0.9526750000000002,0.028925,0.0184,0.0,0.0,0.0184
1e-10,80,4,right,sample_variance,0.3333333333333333,equal_rank,0.02915,0.07465833333333334,0.8961916666666667,0.07465833333333334,0.02915,0.0,0.0,0.02915
1e-10,80,4,right,sample_variance,0.5,5,0.016425000000000002,0.069625,0.9139499999999999,0.069625,0.016425000000000002,0.0,0.0,0.016425000000000002
